local,ano,populacao_total,pop_masculino,pop_feminino
Norte,2006,15022060,7571342,7279928
Norte,2007,12259438,6174274,5922553
Norte,2008,15142686,7631159,7377624
Norte,2009,15359608,7745328,7546369
Norte,2010,15864454,8004915,7859539
Norte,2011,16095187,8114086,7981101
Norte,2012,16303145,8211578,8091567
Norte,2013,16983484,8546599,8436885
Norte,2014,17231027,8663406,8567621
Norte,2015,17472636,8777009,8695627
Norte,2016,17707783,8887151,8820632
Norte,2017,17936201,8993707,8942494
Norte,2018,18182253,9108892,9073361
Norte,2019,18430980,9225194,9205786
Norte,2020,18672591,9337712,9334879
Norte,2021,18906962,9446396,9460566
Norte,2022,17354884,8663119,8691765
Sudeste,2000,72430193,35430967,36999226
Sudeste,2001,73470763,36008464,37393795
Sudeste,2002,74447456,36556535,37752091
Sudeste,2003,75391969,37090595,38090488
Sudeste,2004,77374720,38138166,38947978
Sudeste,2005,78472017,38752165,39354017
Sudeste,2006,79561095,39364143,39751857
Sudeste,2007,31077361,15404994,15469532
Sudeste,2008,80187706,39496180,40342615
Sudeste,2009,80915332,39599549,41139744
Sudeste,2010,80364410,39076647,41287763
Sudeste,2011,80975616,39342575,41633041
Sudeste,2012,81565983,39597915,41968068
Sudeste,2013,84465570,40972966,43492604
Sudeste,2014,85115623,41255432,43860191
Sudeste,2015,85745520,41527634,44217886
Sudeste,2016,86356952,41790414,44566538
Sudeste,2017,86949714,42043694,44906020
Sudeste,2018,87711946,42378396,45333550
Sudeste,2019,88371433,42662908,45708525
Sudeste,2020,89012240,42937899,46074341
Sudeste,2021,89632912,43202691,46430221
Sudeste,2022,84840113,40859823,43980290
Sul,2000,25110348,12401987,12708361
Sul,2001,25453264,12577043,12858800
Sul,2002,25734253,12721638,12977388
Sul,2003,26025091,12871231,13100424
Sul,2004,26635629,13179139,13383570
Sul,2005,26973511,13352350,13528855
Sul,2006,27308863,13524459,13672259
Sul,2007,16842791,8345000,8417098
Sul,2008,27497986,13579817,13830341
Sul,2009,27719118,13644215,14030636
Sul,2010,27386891,13436411,13950480
Sul,2011,27562433,13514580,14047853
Sul,2012,27708514,13578212,14130302
Sul,2013,28795762,14102694,14693068
Sul,2014,29016114,14202237,14813877
Sul,2015,29230180,14298579,14931601
Sul,2016,29439773,14392610,15047163
Sul,2017,29644948,14484362,15160586
Sul,2018,29754036,14529075,15224961
Sul,2019,29975984,14628803,15347181
Sul,2020,30192315,14725663,15466652
Sul,2021,30402587,14819445,15583142
Sul,2022,29937706,14584204,15353502
