local,ano,e_ancora,prop_masc_spline,prop_masc_linear,prop_masc_min,prop_masc_max,spline_fora_envelope,spline_desvio_pp,dif_metodos_pp
Nordeste,2018,FALSE,0.48081917224359105,0.4849147709107469,0.47832454696217047,0.49631431091646105,FALSE,0,-0.4095598667155864
Nordeste,2019,FALSE,0.4808579347402686,0.48451721492360283,0.47832454696217047,0.49631431091646105,FALSE,0,-0.36592801833342237
Nordeste,2020,FALSE,0.48125825227626934,0.4841196589364587,0.47832454696217047,0.49631431091646105,FALSE,0,-0.28614066601893584
Nordeste,2021,FALSE,0.4820653734755758,0.4837221029493146,0.47832454696217047,0.49631431091646105,FALSE,0,-0.1656729473738794
Nordeste,2022,TRUE,0.4833245469621705,0.4833245469621705,0.47832454696217047,0.49631431091646105,NA,NA,0
Norte,2000,TRUE,0.5062981124096422,0.5062981124096422,0.4941746991797813,0.5112981124096422,NA,NA,0
Norte,2001,FALSE,0.5052034171252441,0.5059175738913297,0.4941746991797813,0.5112981124096422,FALSE,0,-0.07141567660856607
Norte,2002,FALSE,0.5044016517123143,0.5055370353730174,0.4941746991797813,0.5112981124096422,FALSE,0,-0.11353836607030932
Norte,2003,FALSE,0.5038598896011889,0.505156496854705,0.4941746991797813,0.5112981124096422,FALSE,0,-0.12966072535161022
Norte,2004,FALSE,0.5035452042222041,0.5047759583363925,0.4941746991797813,0.5112981124096422,FALSE,0,-0.12307541141884926
Norte,2005,FALSE,0.5034246690056962,0.5043954198180801,0.4941746991797813,0.5112981124096422,FALSE,0,-0.09707508123839581
Norte,2006,FALSE,0.5034653573820012,0.5040148812997678,0.4941746991797813,0.5112981124096422,FALSE,0,-0.05495239177666367
Norte,2007,TRUE,0.5036343427814554,0.5036343427814554,0.4941746991797813,0.5112981124096422,NA,NA,0
Norte,2008,FALSE,0.503898698634395,0.5039501669949953,0.4941746991797813,0.5112981124096422,FALSE,0,-0.0051468360600326335
Norte,2009,FALSE,0.5042254983711562,0.5042659912085351,0.4941746991797813,0.5112981124096422,FALSE,0,-0.004049283737894704
Norte,2010,TRUE,0.504581815422075,0.504581815422075,0.4941746991797813,0.5112981124096422,NA,NA,0
Norte,2011,FALSE,0.5049347232174879,0.5041312224018839,0.4941746991797813,0.5112981124096422,FALSE,0,0.08035008156039858
Norte,2012,FALSE,0.5052512951877309,0.5036806293816928,0.4941746991797813,0.5112981124096422,FALSE,0,0.15706658060381518
Norte,2013,FALSE,0.5054986047631403,0.5032300363615017,0.4941746991797813,0.5112981124096422,FALSE,0,0.2268568401638693
Norte,2014,FALSE,0.5056437253740522,0.5027794433413104,0.4941746991797813,0.5112981124096422,FALSE,0,0.2864282032741805
Norte,2015,FALSE,0.5056537304508028,0.5023288503211193,0.4941746991797813,0.5112981124096422,FALSE,0,0.33248801296834607
Norte,2016,FALSE,0.5054956934237284,0.5018782573009282,0.4941746991797813,0.5112981124096422,FALSE,0,0.36174361228001883
Norte,2017,FALSE,0.5051366877231649,0.501427664280737,0.4941746991797813,0.5112981124096422,FALSE,0,0.370902344242785
Norte,2018,FALSE,0.5045437867794489,0.5009770712605459,0.4941746991797813,0.5112981124096422,FALSE,0,0.3566715518902974
Norte,2019,FALSE,0.5036840640229162,0.5005264782403547,0.4941746991797813,0.5112981124096422,FALSE,0,0.3157585782561534
Norte,2020,FALSE,0.5025245928839034,0.5000758852201636,0.4941746991797813,0.5112981124096422,FALSE,0,0.24487076637398353
