grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Total,2006,8,2006-08-01,712,15564213.5,4.574596718298679
Total,2006,9,2006-09-01,688,15564213.5,4.420396828917824
Total,2006,10,2006-10-01,750,15564213.5,4.818746543151699
Total,2006,11,2006-11-01,703,15564213.5,4.516771759780859
Total,2006,12,2006-12-01,768,15564213.5,4.934396460187339
Total,2007,1,2007-01-01,786,15682315.333333334,5.012015020061026
Total,2007,2,2007-02-01,674,15682315.333333334,4.297834762749531
Total,2007,3,2007-03-01,791,15682315.333333334,5.043898067262432
Total,2007,4,2007-04-01,723,15682315.333333334,4.61028862532331
Total,2007,5,2007-05-01,760,15682315.333333334,4.846223174613715
Total,2007,6,2007-06-01,713,15682315.333333334,4.546522530920498
Total,2007,7,2007-07-01,689,15682315.333333334,4.393483904353749
Total,2007,8,2007-08-01,773,15682315.333333334,4.92911909733737
Total,2007,9,2007-09-01,727,15682315.333333334,4.6357950630844345
Total,2007,10,2007-10-01,766,15682315.333333334,4.884482831255402
Total,2007,11,2007-11-01,693,15682315.333333334,4.418990342114873
Total,2007,12,2007-12-01,773,15682315.333333334,4.92911909733737
Total,2008,1,2008-01-01,817,15800417.166666666,5.170749552888915
Total,2008,2,2008-02-01,823,15800417.166666666,5.208723233815883
Total,2008,3,2008-03-01,824,15800417.166666666,5.215052180637045
Total,2008,4,2008-04-01,767,15800417.166666666,4.854302211830841
Total,2008,5,2008-05-01,715,15800417.166666666,4.525196977130445
Total,2008,6,2008-06-01,714,15800417.166666666,4.518868030309284
Total,2008,7,2008-07-01,757,15800417.166666666,4.791012743619228
Total,2008,8,2008-08-01,760,15800417.166666666,4.8099995840827114
Total,2008,9,2008-09-01,787,15800417.166666666,4.980881148254071
Total,2008,10,2008-10-01,787,15800417.166666666,4.980881148254071
Total,2008,11,2008-11-01,749,15800417.166666666,4.740381169049935
Total,2008,12,2008-12-01,828,15800417.166666666,5.240367967921691
Total,2009,1,2009-01-01,825,15956719.166666666,5.1702357570058135
Total,2009,2,2009-02-01,738,15956719.166666666,4.625010895357928
Total,2009,3,2009-03-01,812,15956719.166666666,5.088765375380267
Total,2009,4,2009-04-01,775,15956719.166666666,4.856888135369097
Total,2009,5,2009-05-01,788,15956719.166666666,4.938358516994644
Total,2009,6,2009-06-01,714,15956719.166666666,4.474604036972305
Total,2009,7,2009-07-01,743,15956719.166666666,4.656345657521599
Total,2009,8,2009-08-01,747,15956719.166666666,4.681413467252536
Total,2009,9,2009-09-01,752,15956719.166666666,4.712748229416207
Total,2009,10,2009-10-01,779,15956719.166666666,4.881955945100034
Total,2009,11,2009-11-01,839,15956719.166666666,5.257973091064094
Total,2009,12,2009-12-01,860,15956719.166666666,5.389579092151514
Total,2010,1,2010-01-01,845,15896316.583333334,5.3156968507154
Total,2010,2,2010-02-01,726,15896316.583333334,4.567095755762581
Total,2010,3,2010-03-01,801,15896316.583333334,5.0389031685479715
Total,2010,4,2010-04-01,754,15896316.583333334,4.743237189869127
Total,2010,5,2010-05-01,809,15896316.583333334,5.0892292925784135
Total,2010,6,2010-06-01,702,15896316.583333334,4.416117383671256
Total,2010,7,2010-07-01,745,15896316.583333334,4.68662030033488
Total,2010,8,2010-08-01,789,15896316.583333334,4.963413982502309
Total,2010,9,2010-09-01,768,15896316.583333334,4.8313079069224
Total,2010,10,2010-10-01,856,15896316.583333334,5.384895271257258
Total,2010,11,2010-11-01,794,15896316.583333334,4.994867810021335
Total,2010,12,2010-12-01,859,15896316.583333334,5.403767567768673
Total,2011,1,2011-01-01,817,16031607.25,5.096182729900647
Total,2011,2,2011-02-01,756,16031607.25,4.715684386542091
Total,2011,3,2011-03-01,845,16031607.25,5.270837707179983
Total,2011,4,2011-04-01,842,16031607.25,5.252124673900054
Total,2011,5,2011-05-01,827,16031607.25,5.15855950750041
Total,2011,6,2011-06-01,755,16031607.25,4.7094467087821155
Total,2011,7,2011-07-01,805,16031607.25,5.021330596780931
Total,2011,8,2011-08-01,835,16031607.25,5.2084609295802204
Total,2011,9,2011-09-01,819,16031607.25,5.1086580854206
Total,2011,10,2011-10-01,819,16031607.25,5.1086580854206
Total,2011,11,2011-11-01,800,16031607.25,4.99014220798105
Total,2011,12,2011-12-01,931,16031607.25,5.807277994537946
Total,2012,1,2012-01-01,877,16158667.916666666,5.427427585756798
Total,2012,2,2012-02-01,912,16158667.916666666,5.64402959887138
Total,2012,3,2012-03-01,839,16158667.916666666,5.192259685803824
Total,2012,4,2012-04-01,851,16158667.916666666,5.266523233157395
Total,2012,5,2012-05-01,801,16158667.916666666,4.95709178585085
Total,2012,6,2012-06-01,767,16158667.916666666,4.7466784016823995
Total,2012,7,2012-07-01,840,16158667.916666666,5.198448314749955
Total,2012,8,2012-08-01,821,16158667.916666666,5.080864364773468
Total,2012,9,2012-09-01,888,16158667.916666666,5.4955025041642385
Total,2012,10,2012-10-01,892,16158667.916666666,5.520257019948762
Total,2012,11,2012-11-01,876,16158667.916666666,5.421238956810668
Total,2012,12,2012-12-01,954,16158667.916666666,5.903952014608878
Total,2013,1,2013-01-01,917,16752726.166666666,5.473735981100071
Total,2013,2,2013-02-01,876,16752726.166666666,5.228999694049795
Total,2013,3,2013-03-01,934,16752726.166666666,5.575212002559941
Total,2013,4,2013-04-01,853,16752726.166666666,5.091708606192324
Total,2013,5,2013-05-01,891,16752726.166666666,5.318537360043798
Total,2013,6,2013-06-01,826,16752726.166666666,4.930540807403117
Total,2013,7,2013-07-01,797,16752726.166666666,4.757434653148045
Total,2013,8,2013-08-01,855,16752726.166666666,5.103646961658191
Total,2013,9,2013-09-01,902,16752726.166666666,5.384198315106068
Total,2013,10,2013-10-01,906,16752726.166666666,5.408075026037802
Total,2013,11,2013-11-01,838,16752726.166666666,5.0021709401983205
Total,2013,12,2013-12-01,937,16752726.166666666,5.593119535758742
Total,2014,1,2014-01-01,928,16897380.166666668,5.4919756248998794
Total,2014,2,2014-02-01,878,16897380.166666668,5.19607176579967
Total,2014,3,2014-03-01,956,16897380.166666668,5.6576817859959965
Total,2014,4,2014-04-01,897,16897380.166666668,5.30851523225775
Total,2014,5,2014-05-01,825,16897380.166666668,4.882413675153448
Total,2014,6,2014-06-01,802,16897380.166666668,4.746297899967352
Total,2014,7,2014-07-01,753,16897380.166666668,4.456312118049148
Total,2014,8,2014-08-01,937,16897380.166666668,5.545238319537917
Total,2014,9,2014-09-01,917,16897380.166666668,5.426876775897833
Total,2014,10,2014-10-01,900,16897380.166666668,5.326269463803762
Total,2014,11,2014-11-01,915,16897380.166666668,5.415040621533825
Total,2014,12,2014-12-01,944,16897380.166666668,5.586664859811947
