grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Feminino,2004,8,2004-08-01,156,7592787.083333333,2.054581516482008
Feminino,2004,9,2004-09-01,139,7592787.083333333,1.8306848127628146
Feminino,2004,10,2004-10-01,144,7592787.083333333,1.8965367844449303
Feminino,2004,11,2004-11-01,148,7592787.083333333,1.949218361790623
Feminino,2004,12,2004-12-01,150,7592787.083333333,1.975559150463469
Feminino,2005,1,2005-01-01,162,7678964.416666667,2.109659469815879
Feminino,2005,2,2005-02-01,139,7678964.416666667,1.8101399154593034
Feminino,2005,3,2005-03-01,141,7678964.416666667,1.8361850940990059
Feminino,2005,4,2005-04-01,138,7678964.416666667,1.7971173261394524
Feminino,2005,5,2005-05-01,160,7678964.416666667,2.0836142911761764
Feminino,2005,6,2005-06-01,135,7678964.416666667,1.7580495581798992
Feminino,2005,7,2005-07-01,149,7678964.416666667,1.9403658086578144
Feminino,2005,8,2005-08-01,166,7678964.416666667,2.1617498270952833
Feminino,2005,9,2005-09-01,136,7678964.416666667,1.77107214749975
Feminino,2005,10,2005-10-01,179,7678964.416666667,2.3310434882533477
Feminino,2005,11,2005-11-01,153,7678964.416666667,1.992456165937219
Feminino,2005,12,2005-12-01,147,7678964.416666667,1.9143206300181124
Feminino,2006,1,2006-01-01,149,7763281.666666667,1.9192914336699105
Feminino,2006,2,2006-02-01,133,7763281.666666667,1.713193024685222
Feminino,2006,3,2006-03-01,176,7763281.666666667,2.267082498831572
Feminino,2006,4,2006-04-01,151,7763281.666666667,1.9450537347929964
Feminino,2006,5,2006-05-01,133,7763281.666666667,1.713193024685222
Feminino,2006,6,2006-06-01,134,7763281.666666667,1.7260741752467652
Feminino,2006,7,2006-07-01,147,7763281.666666667,1.8935291325468246
Feminino,2006,8,2006-08-01,141,7763281.666666667,1.8162422291775664
Feminino,2006,9,2006-09-01,155,7763281.666666667,1.9965783370391688
Feminino,2006,10,2006-10-01,156,7763281.666666667,2.009459487600712
Feminino,2006,11,2006-11-01,150,7763281.666666667,1.9321725842314537
Feminino,2006,12,2006-12-01,180,7763281.666666667,2.3186071010777445
Feminino,2007,1,2007-01-01,165,7798501.416666667,2.115791114012856
Feminino,2007,2,2007-02-01,149,7798501.416666667,1.9106234908358515
Feminino,2007,3,2007-03-01,159,7798501.416666667,2.038853255321479
Feminino,2007,4,2007-04-01,144,7798501.416666667,1.8465086085930376
Feminino,2007,5,2007-05-01,161,7798501.416666667,2.0644992082186047
Feminino,2007,6,2007-06-01,145,7798501.416666667,1.8593315850416006
Feminino,2007,7,2007-07-01,140,7798501.416666667,1.7952167027987866
Feminino,2007,8,2007-08-01,145,7798501.416666667,1.8593315850416006
Feminino,2007,9,2007-09-01,159,7798501.416666667,2.038853255321479
Feminino,2007,10,2007-10-01,180,7798501.416666667,2.308135760741297
Feminino,2007,11,2007-11-01,137,7798501.416666667,1.7567477734530985
Feminino,2007,12,2007-12-01,188,7798501.416666667,2.410719572329799
Feminino,2008,1,2008-01-01,180,7925974.083333333,2.2710142388492334
Feminino,2008,2,2008-02-01,163,7925974.083333333,2.0565295607356946
